   874.3: flog total
    10.0: flog/method average

    44.4: CleoQualityReview::RunnerTest#test_runs_checks_and_writes_artifacts test/runner_test.rb:61-86
    44.0: CleoQualityReview::Runner#run    lib/cleo_quality_review/runner.rb:18-49
    37.0: CleoQualityReview::RunnerTest#test_changed_with_no_git_changes_returns_empty_target_files test/runner_test.rb:146-177
    28.9: CleoQualityReview::Options#parser lib/cleo_quality_review/options.rb:44-77
    25.1: CleoQualityReview::RunnerTest#test_defaults_to_changed_mode_when_no_files_provided test/runner_test.rb:88-106
    22.1: CleoQualityReview::TargetResolver#expand_target_paths lib/cleo_quality_review/target_resolver.rb:84-96
    21.8: CleoQualityReview::Checks::ParsersTest#test_reek_parser_normalizes_json_smells test/checks/parsers_test.rb:17-37
    21.8: CleoQualityReview::RunnerTest#run test/runner_test.rb:13-29
    20.4: CleoQualityReview::Options#parse lib/cleo_quality_review/options.rb:26-38
    20.4: CleoQualityReview::Checks::ParsersTest#test_fasterer_parser_normalizes_findings test/checks/parsers_test.rb:51-61
    20.4: CleoQualityReview::Checks::ParsersTest#test_flog_parser_normalizes_method_scores test/checks/parsers_test.rb:39-49
    20.0: CleoQualityReview::TargetResolverTest#test_defaults_to_changed_ruby_files test/target_resolver_test.rb:14-35
    19.8: CleoQualityReview::Runner#resolve_checks lib/cleo_quality_review/runner.rb:59-65
    18.7: CleoQualityReview::Configuration::Loader#load_file lib/cleo_quality_review/configuration.rb:82-94
    17.5: CleoQualityReview::RunnerTest#test_only_and_exclude_combined_exclude_takes_precedence test/runner_test.rb:127-144
    17.5: CleoQualityReview::RunnerTest#test_exclude_removes_specified_checks test/runner_test.rb:108-125
    17.2: CleoQualityReview::TargetResolverTest#test_changed_flag_forces_git_diff_mode test/target_resolver_test.rb:141-161
    16.9: CleoQualityReview::ConfigurationTest#test_inherit_from_expands_user_home_paths test/configuration_test.rb:69-97
    16.5: CleoQualityReview::TargetResolverTest#test_explicit_directories_expand_recursively test/target_resolver_test.rb:88-100
    16.0: CleoQualityReview::TargetResolverTest#test_includes_existing_untracked_ruby_files_by_default test/target_resolver_test.rb:37-56
    15.2: CleoQualityReview::TargetResolverTest#test_explicit_files_are_filtered_by_default_config test/target_resolver_test.rb:58-69
    15.2: CleoQualityReview::TargetResolverTest#test_local_config_can_include_additional_extensions test/target_resolver_test.rb:71-86
    14.8: CleoQualityReview::ConfigurationTest#test_local_config_can_inherit_from_relative_config test/configuration_test.rb:39-67
    13.7: CleoQualityReview::TargetResolverTest#test_local_config_excludes_files_by_location test/target_resolver_test.rb:102-117
    12.5: CleoQualityReview::TargetResolver#resolve_target_files lib/cleo_quality_review/target_resolver.rb:34-46
